"Akemi - ChatBot","Simulation","Salvador Martinez","https://play.google.com/store/apps/developer?id=Salvador+Martinez","0","0",0,0,0,0,0
"탄막소녀(12)","Arcade","NNSOFT","https://play.google.com/store/apps/dev?id=8781170775690105588","5.0","2","0","0","0","0","2"
"Rise Up","Racing","XuJie","https://play.google.com/store/apps/developer?id=XuJie","0","0",0,0,0,0,0
"Math Challenges PRO 2018 - Puzzles for Geniuses","Puzzle","B2A Apps","https://play.google.com/store/apps/developer?id=B2A+Apps","3.7","16","2","1","2","6","5"
"The Blue Dog","Educational","DVG Service GmbH","https://play.google.com/store/apps/developer?id=DVG+Service+GmbH","0","0",0,0,0,0,0
"Operation Z-For Zombies First/Third Person shootin","Action","A. I Systems","https://play.google.com/store/apps/developer?id=A.+I+Systems","5.0","1","0","0","0","0","1"
"Gamma Aquilae","Arcade","Corsair Motion Controls, LLC.","https://play.google.com/store/apps/developer?id=Corsair+Motion+Controls,+LLC.","5.0","2","0","0","0","0","2"
"ECHESSPEDIA 2018 Pro","Strategy","willy Iclicki","https://play.google.com/store/apps/developer?id=willy+Iclicki","0","0",0,0,0,0,0
"SOMETHING","Casual","Jean-Vincent Yann Toole","https://play.google.com/store/apps/developer?id=Jean-Vincent+Yann+Toole","4.0","1","0","0","0","1","0"
"Dreamer","Casual","delirium plus","https://play.google.com/store/apps/developer?id=delirium+plus","0","0",0,0,0,0,0
"Robo Jumper 3D","Arcade","Hoshivar&co","https://play.google.com/store/apps/developer?id=Hoshivar%26co","5.0","1","0","0","0","0","1"
"Meet the Letters Flashcards – Lowercase","Educational","Preschool Prep Company","https://play.google.com/store/apps/dev?id=4963477729692381907","0","0",0,0,0,0,0
"Panoramania PRO - Hidden objects in real panoramas","Adventure","Ally team","https://play.google.com/store/apps/developer?id=Ally+team","5.0","8","0","0","0","0","8"
"Scratch And Guess","Trivia","Ak GameLabs","https://play.google.com/store/apps/developer?id=Ak+GameLabs","0","0",0,0,0,0,0
"Book of Mormon Scripix","Educational","Mike Stevens","https://play.google.com/store/apps/developer?id=Mike+Stevens","0","0",0,0,0,0,0
"Kitty Meow Meow City Heroes FULL","Role Playing","TutoTOONS","https://play.google.com/store/apps/dev?id=6493980387780624296","0","0",0,0,0,0,0
"Sheep TD: Most Complex Game Ever","Adventure","Y-Era Studios","https://play.google.com/store/apps/developer?id=Y-Era+Studios","5.0","5","0","0","0","0","5"
"Stealthy Guy","Strategy","Annapurna Seelam","https://play.google.com/store/apps/developer?id=Annapurna+Seelam","5.0","1","0","0","0","0","1"
"Meet the Sight Words1","Educational","Preschool Prep Company","https://play.google.com/store/apps/dev?id=4963477729692381907","0","0",0,0,0,0,0
"Blood of Patriots","Arcade","12 to 6 Studios LLC","https://play.google.com/store/apps/developer?id=12+to+6+Studios+LLC","0","0",0,0,0,0,0
"Magic Touch","Casual","MagicTouch","https://play.google.com/store/apps/developer?id=MagicTouch","0","0",0,0,0,0,0
"Famous Beaches VR (Lopes Mendes Beach Brazil)","Simulation","A. I Systems","https://play.google.com/store/apps/developer?id=A.+I+Systems","4.5","2","0","0","0","1","1"
"Oak Island Mystery","Adventure","Boxy Inc","https://play.google.com/store/apps/developer?id=Boxy+Inc","5.0","2","0","0","0","0","2"
"3 Seconds","Casual","Salvy","https://play.google.com/store/apps/developer?id=Salvy","0","0",0,0,0,0,0
"RPGCS Gold","Role Playing","OEGames","https://play.google.com/store/apps/developer?id=OEGames","0","0",0,0,0,0,0
"Wrong and Right","Educational","Rightethics","https://play.google.com/store/apps/developer?id=Rightethics","5.0","1","0","0","0","0","1"
"Endless Armory","Role Playing","SirCumferance","https://play.google.com/store/apps/developer?id=SirCumferance","0","0",0,0,0,0,0
"Elevating Experience: The Game","Casual","Kurokitsukami","https://play.google.com/store/apps/developer?id=Kurokitsukami","5.0","4","0","0","0","0","4"
"Little Snake","Casual","Persea Labs","https://play.google.com/store/apps/developer?id=Persea+Labs","5.0","1","0","0","0","0","1"
"Chinese Poker:Landlord","Card","fanqi","https://play.google.com/store/apps/developer?id=fanqi","0","0",0,0,0,0,0
"Sprint Dodge","Casual","James Brodski","https://play.google.com/store/apps/developer?id=James+Brodski","5.0","1","0","0","0","0","1"
"iJuggle Pro","Arcade","Tsouchlos Brothers","https://play.google.com/store/apps/dev?id=5522405069148695933","5.0","4","0","0","0","0","4"
"Topple!","Word","Sean O'Connor","https://play.google.com/store/apps/dev?id=5875330403581467051","0","0",0,0,0,0,0
"2048 Apex - Premium","Puzzle","Föhnsoft","https://play.google.com/store/apps/developer?id=F%C3%B6hnsoft","0","0",0,0,0,0,0
"Meet the Colors Flashcards (Spanish)","Educational","Preschool Prep Company","https://play.google.com/store/apps/dev?id=4963477729692381907","0","0",0,0,0,0,0
"Awesome Space Delivery Company","Arcade","Ludumium","https://play.google.com/store/apps/developer?id=Ludumium","5.0","4","0","0","0","0","4"
"Meet the Colors Flashcards","Educational","Preschool Prep Company","https://play.google.com/store/apps/dev?id=4963477729692381907","0","0",0,0,0,0,0
"Word Worth","Word","Whata Hoot Game Designs, LLC","https://play.google.com/store/apps/developer?id=Whata+Hoot+Game+Designs,+LLC","0","0",0,0,0,0,0
"Galaxy Punch","Arcade","Tangential Orbits LLC","https://play.google.com/store/apps/dev?id=5525451818257345485","4.9","14","0","0","0","1","13"
"Dummy Test Pro","Trivia","Andreas Reiser","https://play.google.com/store/apps/developer?id=Andreas+Reiser","5.0","1","0","0","0","0","1"
