Name,Genre,Developer,dev_link,rating,total,five,four,three,two,one
Full HD Video Player,Video Players & Editors,savanappstudio,https://play.google.com/store/apps/developer?id=savanappstudio,4.5,106,6,1,9,10,80
All Bank Balance Enquiry,Books & Reference,Prank App Corner,https://play.google.com/store/apps/developer?id=Prank+App+Corner,4.2,77,8,1,8,10,50
gDMSS Plus,Tools,"Zhejiang DAHUA Technology Co., Ltd","https://play.google.com/store/apps/developer?id=Zhejiang+DAHUA+Technology+Co.,+Ltd",3.7,941,164,82,101,161,433
Mega Shooter: Infinity Space War (Galaxy Heroes),Arcade,iKameStudio,https://play.google.com/store/apps/developer?id=iKameStudio,4.4,3928,258,75,225,454,2916
Bubble Shooter 3,Puzzle,Bubble Shooter Artworks,https://play.google.com/store/apps/developer?id=Bubble+Shooter+Artworks,4.4,83,5,2,7,13,56
The Gang City,Action,Grand Gangster Games,https://play.google.com/store/apps/developer?id=Grand+Gangster+Games,4.1,865,124,27,74,65,575
DP and Status,Photography,secure devloper,https://play.google.com/store/apps/developer?id=secure+devloper,4.2,28,2,1,2,7,16
Castle Kingdom: Crush in Free,Strategy,OneSoft Studio,https://play.google.com/store/apps/dev?id=5015266578532322195,4.5,91,7,0,5,8,71
KreditBee Instant Personal Loan Salary Advance,Finance,KrazyBee,https://play.google.com/store/apps/developer?id=KrazyBee,4.3,452,57,11,12,22,350
Music Player - Audio Player with Sound Changer,Music & Audio,KUCAPP - Free Music & Video Apps,https://play.google.com/store/apps/developer?id=KUCAPP+-+Free+Music+%26+Video+Apps,4.7,1142,19,2,65,178,878
"Cric Pro Tips - Dream11 Tips , Live Score, News",Sports,Crazy indian,https://play.google.com/store/apps/developer?id=Crazy+indian,4.4,86,8,1,4,5,68
Slayer Bubbles,Adventure,Cookie Crush Games,https://play.google.com/store/apps/dev?id=7236897623184980796,4.4,107,6,0,11,20,70
10th class maths solution,Education,pawan panwar,https://play.google.com/store/apps/developer?id=pawan+panwar,4.3,132,10,2,12,18,90
Flip the Gun - Simulator Game,Arcade,Playgendary,https://play.google.com/store/apps/dev?id=7486814720100409246,4.3,152409,14693,2830,9513,17906,107467
